Region,Codigo region,Poblacion,fecha,numero
Valparaiso,05,1960170,2020-05-13,298
Metropolitana,13,8125072,2020-05-13,7173
OHiggins,06,991063,2020-05-13,164
Maule,07,1131939,2020-05-13,329
Nuble,16,511551,2020-05-13,0
Biobio,08,1663696,2020-05-13,1342
Araucania,09,1014343,2020-05-13,437
Los Rios,14,405835,2020-05-13,108
Los Lagos,10,891440,2020-05-13,194
Aysen,11,107297,2020-05-13,20
Magallanes,12,178362,2020-05-13,155
Arica y Parinacota,15,252110,2020-05-14,140
Tarapaca,01,382773,2020-05-14,274
Antofagasta,02,691854,2020-05-14,283
Atacama,03,314709,2020-05-14,4
Coquimbo,04,836096,2020-05-14,80
Valparaiso,05,1960170,2020-05-14,301
Metropolitana,13,8125072,2020-05-14,7563
OHiggins,06,991063,2020-05-14,204
Maule,07,1131939,2020-05-14,234
Nuble,16,511551,2020-05-14,226
Biobio,08,1663696,2020-05-14,433
Araucania,09,1014343,2020-05-14,480
Los Rios,14,405835,2020-05-14,107
Los Lagos,10,891440,2020-05-14,933
Aysen,11,107297,2020-05-14,110
Magallanes,12,178362,2020-05-14,130
Arica y Parinacota,15,252110,2020-05-15,107
Tarapaca,01,382773,2020-05-15,346
Antofagasta,02,691854,2020-05-15,416
Atacama,03,314709,2020-05-15,197
Coquimbo,04,836096,2020-05-15,253
Valparaiso,05,1960170,2020-05-15,1097
Metropolitana,13,8125072,2020-05-15,9948
OHiggins,06,991063,2020-05-15,148
Maule,07,1131939,2020-05-15,241
Nuble,16,511551,2020-05-15,183
Biobio,08,1663696,2020-05-15,1530
Araucania,09,1014343,2020-05-15,452
Los Rios,14,405835,2020-05-15,218
Los Lagos,10,891440,2020-05-15,921
Aysen,11,107297,2020-05-15,38
Magallanes,12,178362,2020-05-15,0
Arica y Parinacota,15,252110,2020-05-16,0
Tarapaca,01,382773,2020-05-16,268
Antofagasta,02,691854,2020-05-16,5
Atacama,03,314709,2020-05-16,311
Coquimbo,04,836096,2020-05-16,92
Valparaiso,05,1960170,2020-05-16,213
Metropolitana,13,8125072,2020-05-16,6555
OHiggins,06,991063,2020-05-16,0
Maule,07,1131939,2020-05-16,0
Nuble,16,511551,2020-05-16,0
Biobio,08,1663696,2020-05-16,70
Araucania,09,1014343,2020-05-16,417
Los Rios,14,405835,2020-05-16,81
Los Lagos,10,891440,2020-05-16,718
Aysen,11,107297,2020-05-16,32
Magallanes,12,178362,2020-05-16,51
Arica y Parinacota,15,252110,2020-05-17,106
Tarapaca,01,382773,2020-05-17,374
Antofagasta,02,691854,2020-05-17,299
Atacama,03,314709,2020-05-17,66
Coquimbo,04,836096,2020-05-17,180
Valparaiso,05,1960170,2020-05-17,839
Metropolitana,13,8125072,2020-05-17,7371
OHiggins,06,991063,2020-05-17,168
Maule,07,1131939,2020-05-17,371
Nuble,16,511551,2020-05-17,345
Biobio,08,1663696,2020-05-17,1544
Araucania,09,1014343,2020-05-17,410
